8006660;Zillendorf;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1617936
8006635;Zeil;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1526039
8006634;Zapfendorf;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1595042
8006624;Wurlitz;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623348
8006595;Wullenstetten;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1119745
8006588;Wüstenselbitz;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1499256
8006586;Würzburg-Zell;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1358378
8006582;Würzburg Süd;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623550
8006554;Wolfsmünster;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623292
8006550;Wolfratshausen;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1591189
8006538;Wörth (Main);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1616208
8006537;Wörth (Isar);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1485355
8006533;Wörnitzstein;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623312
8006493;Witzighausen;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1624797
8006488;Winterhausen;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1528268
8006476;Winkelhaid;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1499236
8006473;Windsbach;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1602422
8006472;Windischeschenbach;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623605
8006455;Willmering;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1617918
8006448;Wilhermsdorf;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1499244
8006426;Wiesthal;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1617723
8006423;Wiesmühl (Alz);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1612689
8006422;Tittmoning-Wiesmühl;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1619508
8006418;Wiesenthau;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1602405
8006414;Wiesenfeld (b Coburg);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1499228
8006403;Wiesau (Oberpf);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623275
8006390;Wicklesgreuth;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1624802
8006380;Westheim-Langendorf;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1101227
8006378;Westheim (Schwab);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1624807
8006366;Westerham;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623217
8006363;Westendorf;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1313157
8006359;Weßling (Oberbay);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1536909
8006353;Wertach-Haslach;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1493812
8006349;Wernfeld;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1499220
8006347;Wernberg;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1624784
8006309;Weizern-Hopferau;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623235
8006305;Weißenhorn-Eschach;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1537946
8006300;Weißenohe;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1399127
8006299;Weißenhorn;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1616889
8006298;Weißenburg (Bay);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1602371
8006279;Weilbach (Unterallg);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1353249
8006274;Weilbach (Unterfr);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1528104
8006267;Weiherhof;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1526726
8006266;Weiherhammer;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623195
8006264;Weiding;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1522467
8006259;Weidenberg;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1624792
8006258;Weidenbach;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1624788
8006257;Weickersgrüben;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623160
8006256;Weichering;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1499208
8006255;Weibhausen;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1574850
8006224;Wasserzell (b Eichstätt);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1615199
8006220;Wasserburg (Inn) Bf;https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1536860
8006219;Wasserburg (Günz);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1623142
8006218;Wasserburg (Bodensee);https://www.stationsdatenbank.bayern-takt.de/StationsdatenbankBEG/picture/image.html?imageId=1618782
