EVA_NR;DS100;IFOPT;NAME;VERKEHR;LAENGE;BREITE;STATUS
8003442;FKRI;de:06436:2101;Kriftel;RV;8,47544800;50,0822800;
8003446;NK;de:09476:75002;Kronach;RV;11,3201150;50,2396120;
8003447;FKRO;de:06434:2252;Kronberg(Taunus);RV;8,51687400;50,1799190;
8003452;SKRO;de:07134:35411;Kronweiler;nur DPN;7,26241600;49,6555880;
8003455;KKRF;;Kruft;RV;7,33859800;50,3905410;
8003457;MKRB;de:09774:2730;Krumbach(Schwab);RV;10,3586190;48,2475900;
8003460;AKRS;de:01056:83950;Krupunder;RV;9,86776200;53,6158230;
8003461;TKUC;de:08117:159;Kuchen;RV;9,80340000;48,6405230;
8003462;KKUH;de:05366:72701;Euskirchen-Kuchenheim;RV;6,83447800;50,6556020;
8003467;FKWB;de:06635:209747;Külte-Wetterburg;RV;9,07113800;51,3968210;
8003469;EKUE;de:05754:9040;Künsebeck;nur DPN;8,38422700;52,0369360;
8003470;EKNT;de:05962:3116;Küntrop;RV;7,81479600;51,2933990;
8003472;NKUE;de:09476:18952;Küps;RV;11,2683370;50,1958860;
8003474;AKH;de:01002:49320;Kiel-Hassee CITTI-PARK;RV;10,0985960;54,3105690;
8003476;NKU;de:09477:75003;Kulmbach;RV;11,4518890;50,1098220;
8003477;AKE;de:01002:49316;Kiel-Elmschenhagen;RV;10,1804140;54,2871420;
8003478;AKUP;de:01062:8003478;Kupfermühle;RV;10,3267950;53,7624460;
8003479;AKRH;de:01058:51610;Kronshagen;RV;10,0831550;54,3312110;
8003480;RKU;de:08216:34763;Kuppenheim;RV;8,25611200;48,8341280;
8003481;SKUS;de:07336:8550;Kusel;RV;7,41032900;49,5382820;
8003483;MKUN;de:09772:6300;Kutzenhausen;RV;10,6963380;48,3347750;
8003484;SKY;de:07232:20744;Kyllburg;RV;6,59702700;50,0419300;
8003485;NLB;de:09375:558;Laaber;RV;11,8840560;49,0700220;
8003486;ELSP;de:05970:10560;Bad Laasphe;RV;8,42072000;50,9293120;
8003487;HHML;de:03241:9830;Hannover Messe/Laatzen;FV;9,79286300;52,3168990;
8003488;MLBW;de:09278:2841;Laberweinting;RV;12,3152370;48,7968390;
8003489;RLD;de:08226:1711;Ladenburg;RV;8,60280300;49,4742420;
8003490;MLLF;de:09772:7570;Lagerlechfeld;RV;10,8443700;48,1833730;
8003491;HLGG;de:05566:60007;Ibbenbüren-Laggenbeck;nur DPN;7,78096200;52,2648600;
8003493;ENL;de:05970:11628;Bad Laasphe-Niederlaasphe;RV;8,44200100;50,9243240;
8003494;RLSW;de:08317:12103;Lahr(Schwarzw);FV;7,83473400;48,3404360;
8003495;NLCK;de:09462:22350;Laineck;nur DPN;11,6159070;49,9593510;
8003497;RLBP;de:07332:1730;Lambrecht(Pfalz);RV;8,07439100;49,3733360;
8003498;RLSH;de:07338:1745;Lambsheim;RV;8,28347600;49,5118630;
8003503;FLP;de:06431:1771;Lampertheim;RV;8,47848900;49,5982150;
8003504;SLAO;de:07335:8022;Lampertsmühle-Otterbach;RV;7,72940800;49,4836620;
8003506;MLDI;de:09279:3350;Landau(Isar);RV;12,6950620;48,6828900;
8003507;RLAD;de:07313:15081;Landau(Pfalz)Süd;RV;8,11383600;49,1895140;
8003508;RLW;de:07313:8050;Landau(Pfalz)West;RV;8,10705200;49,1957480;
8003512;MLL;de:09181:511;Landsberg(Lech);RV;10,8717010;48,0472740;
8003514;MLAS;de:09261:9991;Landshut(Bay)Süd;RV;12,1407280;48,5239380;
8003515;SLD;de:07335:8123;Landstuhl;FV;7,56593100;49,4162870;
8003516;SLWR;de:10043:8003516;Landsweiler-Reden;RV;7,11931600;49,3522460;
8003518;ALAS,ALASK;de:02000:80950;Hamburg Landungsbrücken;RV;9,97128100;53,5461320;
8003519;ALAN;de:02000:10953;Hamburg Landwehr;RV;10,0380210;53,5611990;
8003520;FLGS;de:06531:11205;Lang Göns;RV;8,66709100;50,4979390;
8003521;NLG;de:09276:4982;Langdorf;nur DPN;13,1613920;49,0206620;
8003522;HLNG;de:03153:5536;Langelsheim;RV;10,3431730;51,9301200;
8003523;FLG;de:06438:2705;Langen(Hess);RV;8,65678700;49,9936120;
8003524;TLR;de:08435:44160;Langenargen;RV;9,54483700;47,5994910;
8003525;TLL;de:08425:2102;Langenau(Württ);RV;10,1259880;48,4933330;
8003526;FLGF;de:06438:11505;Langen-Flugsicherung;RV;8,65867100;50,0052300;
8003528;MLB;de:09178:2830;Langenbach(Oberbay);RV;11,8528540;48,4380970;
8003529;ELBG;de:05158:10337;Velbert-Langenberg;RV;7,12237700;51,3547640;
8003532;RLBD;de:08216:34670;Langenbrand;RV;8,35547300;48,7022720;
8003533;RBS;de:08215:1862;Bad Schönborn Süd;RV;8,64192400;49,2000010;
8003539;KLAB;de:05158:19505;Langenfeld(Rhld)-Berghausen;RV;6,92368400;51,1175100;
8003540;KLA;de:05158:19479;Langenfeld(Rhld);RV;6,93827800;51,1026770;
8003541;ALST;de:02000:84952;Hamburg-Langenfelde;RV;9,93092000;53,5796920;
8003542;HLGH;de:03241:9898;Langenhagen Pferdemarkt;RV;9,73588200;52,4509930;
8003543;FLAH;de:07143:4873;Langenhahn;nur DPN;7,91463300;50,5875350;
8003544;ALG;de:01054:53380;Langenhorn(Schlesw);FV;8,94641300;54,6859340;
8003545;HLGM;de:03241:6631;Langenhagen Mitte;FV;9,72542700;52,4402790;
8003548;NLP;de:09677:75202;Langenprozelten;RV;9,66138400;50,0615720;
8003550;FSLB;de:06435:11061;Langenselbold;RV;9,05768200;50,1620680;
8003551;MLNW;de:09780:703;Langenwang(Schwab);RV;10,2760320;47,4365880;
8003552;NLZ;de:09573:5050;Langenzenn;RV;10,8018560;49,4969430;
8003553;KLAW;de:05358:4566;Langerwehe;RV;6,35346700;50,8179090;
8003554;NLGU;de:09577:16720;Langlau;RV;10,8593520;49,1187430;
8003558;FLF;de:06531:11140;Langsdorf(Oberhess);nur DPN;8,85699000;50,4949540;
8003559;FLAS;de:06432:11236;Babenhausen Langstadt;nur DPN;8,94573300;49,9222740;
